This file is created using OBDScope v1.71
31.10.2013
www.obdscope.com

;;0x04;0x05;0x06;0x07;0x0b;0x0b;0x0c;0x0d;0x0d;0x0e;0x0f;0x10;0x11;0x15;0x21;0x24;0x24;0x24;0x439;0x438;0x437;0x437;0x437;0x442;0x442;0x443;0x470
Cycle;Timestamp;Calculated Load (%);Engine Coolant Temperature (°C);Short Term Fuel Trim B1 (%);Long Term Fuel Trim B1 (%);Intake Manifold Pressure (kPa(a));Intake Manifold Pressure (bar(g));Engine RPM (1/min);Vehicle Speed (km/h);Vehicle Speed (m/s);Timing advance (°);Intake Air Temperature (°C);Air Flow Rate (g/s);Absolute Throttle Position (%);O2 Sensor B1S2 (V);Distance with MIL (km);O2 Sensor (L/WB) B1S1 (V);O2 Sensor (L/WB) B1S1 (EqR);O2 Sensor (L/WB) B1S1 (lambda);Fuel System (0=Closed 1=Cold(O) 2=Load(O) 3=Fail(O) -1=Fail(C);OBD Port Voltage (V);Momentary Fuel Economy (l/100km);Momentary Fuel Economy (km/l);Momentary Fuel Economy (l/h);Engine power (hp);Engine power (kW);Engine torque (Nm);AFR B1S1
81;08:32:07.0;4.70588;53;-10.9368;-2.3436;43;-0.58325;987.5;0;0;16;19;5.55;12.9412;0.055;0;2.14209;1.003;0.997009;0;13.3;;;1.88854;6.17513;4.54181;44.5283;14.6982
82;08:32:08.0;4.70588;53;-10.9368;-2.3436;43;-0.58325;971.75;0;0;15;19;5.55;12.9412;0.055;0;2.14209;1.003;0.997009;0;13.3;;;1.88854;6.17513;4.54181;45.25;14.6982
83;08:32:09.0;4.70588;53;-10.9368;-2.3436;43;-0.58325;971.75;0;0;15;19;5.55;12.9412;0.07;0;2.14209;1.003;0.997009;0;13.3;;;1.88854;6.17513;4.54181;45.25;14.6982
84;08:32:10.0;4.70588;53;-10.9368;-2.3436;43;-0.58325;971.75;0;0;15;19;5.55;12.9412;0.07;0;2.20215;0.987523;1.01263;0;13.5;;;1.88854;6.17513;4.54181;45.25;14.7763
85;08:32:11.0;4.70588;53;-10.9368;-2.3436;43;-0.58325;971.75;0;0;15;19;5.55;12.9412;0.07;0;2.20215;0.987523;1.01263;0;13.5;;;1.88854;6.17513;4.54181;45.25;14.7763
86;08:32:12.0;4.70588;53;-10.9368;-2.3436;43;-0.58325;965.5;0;0;15;19;5.55;12.9412;0.07;0;2.20215;0.987523;1.01263;0;13.5;;;1.88854;6.17513;4.54181;45.5429;14.7763
87;08:32:13.0;4.70588;53;-10.9368;-2.3436;43;-0.58325;965.5;0;0;15;19;5.48;12.9412;0.08;0;2.12207;1.00448;0.995544;0;13.5;;;1.86472;6.09725;4.48452;44.9685;14.7763
88;08:32:14.0;4.31373;54;-10.9368;-2.3436;43;-0.58325;965.5;0;0;15;19;5.48;12.9412;0.08;0;2.12207;1.00448;0.995544;0;13.3;;;1.86472;6.09725;4.48452;44.9685;14.6318
89;08:32:15.022625;4.31373;54;-11.718;-2.3436;43;-0.58325;959.25;0;0;15;19;5.48;12.9412;0.08;0;2.12207;1.00448;0.995544;0;13.3;;;1.86472;6.09725;4.48452;44.9685;14.6318
90;08:32:16.0;4.31373;54;-11.718;-2.3436;43;-0.58325;959.25;0;0;15;19;5.48;12.9412;0.08;0;2.12207;1.00448;0.995544;0;13.3;;;1.86472;6.09725;4.48452;45.2615;14.6318
91;08:32:17.0;4.31373;54;-11.718;-2.3436;43;-0.58325;959.25;0;0;17;19;5.35;12.9412;0.06;0;2.12207;1.00448;0.995544;0;13.3;;;1.82049;5.9526;4.37814;44.1878;14.6318
92;08:32:18.0;4.31373;54;-11.718;-2.3436;43;-0.58325;959.25;0;0;17;19;5.35;12.9412;0.06;0;2.14709;1.00061;0.99939;0;13.3;;;1.82049;5.9526;4.37814;44.1878;14.822
93;08:32:19.0;4.31373;54;-11.718;-2.3436;43;-0.58325;959.25;0;0;17;19;5.35;12.9412;0.06;0;2.14709;1.00061;0.99939;0;13.3;;;1.82049;5.9526;4.37814;44.1878;14.822
94;08:32:20.0;4.31373;54;-11.718;-2.3436;43;-0.58325;962.5;0;0;19;19;5.35;12.9412;0.06;0;2.14709;1.00061;0.99939;0;13.3;;;1.82049;5.9526;4.37814;44.0385;14.822
